id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12962444,Beautiful 2 bedroom suite uptown!,50511831,Historica,Saint John,City of Saint John,45.2726,-66.05997,Entire home/apt,114,7,41,2022-05-30,0.58,11,0,17,
2597511,"Suite #3,  downtown Superhost.",13302046,Victoria,York,Fredericton,45.95745,-66.63637,Entire home/apt,110,1,306,2022-06-20,3.21,5,236,10,
12982204,Beautifully Furnished Executive Main floor Apt,1373498,Usha,Saint John,City of Saint John,45.27884,-66.05894,Entire home/apt,115,2,28,2021-08-08,0.38,2,345,2,
16300953,"2BR House, 4 min walk to Parlee",74209561,Ross,Westmorland,Shediac,46.23645,-64.51483,Entire home/apt,163,3,18,2021-09-29,0.30,1,294,6,
12990088,Beachfront Country Cottage Getaway,71567637,Stephen,Westmorland,Botsford,46.17919,-64.02049,Entire home/apt,325,4,50,2022-05-23,0.68,2,293,14,
16527421,(80-3) fully furnished 4 bedrm suite with 2 bathrm,93644538,Lorraine,Westmorland,Moncton,46.11414,-64.77595,Entire home/apt,249,2,26,2022-05-31,0.42,16,77,3,
13219995,Cedar Paradise on Lotus Pond,74160026,Selim,Westmorland,Shediac,46.221279,-64.360252,Entire home/apt,342,2,31,2022-04-16,0.43,1,310,15,
16533747,Entire basement with Queen-sized Bedroom,24931513,Mua,Westmorland,Moncton,46.11922,-64.8558,Entire home/apt,75,1,68,2021-10-02,1.04,2,21,10,
13325597,The Artist's Cabin,3756641,Krista & Jordy,Charlotte,Saint Andrews,45.12739,-67.04982,Entire home/apt,311,2,104,2022-06-22,1.43,2,107,15,
16566239,Victorian Charming  Home,2994839,Alma,Saint John,City of Saint John,45.25218,-66.10449,Entire home/apt,91,1,302,2022-06-23,4.60,1,289,40,
16614567,Alvin's Parkside 2 bdrm apt in old Saint John,99381199,Alvin,Saint John,City of Saint John,45.28525,-66.0559,Entire home/apt,91,1,405,2022-06-10,6.11,5,284,69,
13329586,Le Bolonswick,27044403,Jean Antoine,Gloucester,Shippagan,47.88523,-64.61883,Entire home/apt,80,7,40,2019-08-18,0.55,2,83,0,
16646169,Beautiful open loft-7 minute walk to the beach! 🏖,110012006,Ray And Candice,Westmorland,Shediac,46.22063,-64.33963,Entire home/apt,136,2,39,2022-06-19,0.65,1,85,11,
13347871,Lit Queen bed - Waterfront - Zen,58916219,Chantal,Gloucester,Saumarez,47.47454,-64.92189,Private room,55,3,101,2022-05-22,1.56,2,334,5,
16660845,Bachelor Suite beside Moncton hospital,110166848,Jeanette,Westmorland,Moncton,46.10538,-64.80821,Entire home/apt,79,4,148,2022-05-14,2.26,1,300,10,
16691883,"Arianna's Place!  Luxury cottage,  Pointe Du Chene",26695369,Andrea,Westmorland,Shediac,46.23609,-64.52046,Entire home/apt,175,6,18,2021-09-18,0.30,2,4,5,
13641865,Cozy cottage by the Sea,79154617,Christine,Kent,Dundas,46.31342,-64.69247,Entire home/apt,151,2,174,2022-06-19,2.39,4,100,22,
16731778,Sunrise Cottage,41364853,Wendy,Kent,Dundas,46.3255,-64.51957,Entire home/apt,175,7,40,2021-09-26,0.66,2,306,13,
13656456,Serenity by the sea Cottage - Beach Access,3756641,Krista & Jordy,Charlotte,Saint Andrews,45.13218,-67.04969,Entire home/apt,287,2,79,2022-05-25,1.09,2,53,8,
16826241,Dieppe Center - fully furnished 1 bedroom suite,93644538,Lorraine,Westmorland,Moncton,46.0986,-64.75425,Entire home/apt,77,3,6,2019-11-22,0.10,16,0,0,
16840159,Charming Carriage House Just Steps from Downtown,112107750,Sylvia,Charlotte,Saint Andrews,45.07458,-67.05338,Entire home/apt,105,3,61,2020-08-25,0.98,1,2,0,
13666678,East Apartment,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27353,-66.05309,Private room,116,3,23,2018-09-02,0.32,10,241,0,
16857715,The Church House - a unique cottage experience,6160610,Gunther,Westmorland,Botsford,46.13084,-63.82366,Entire home/apt,340,3,23,2022-06-12,0.38,2,163,4,
13693886,Cozy appartement near the sea,73365610,Michel,Gloucester,Caraquet,47.77121,-64.98189,Entire home/apt,95,1,126,2022-06-14,1.75,2,290,18,
13742628,"Wild, Rustic and Artsy - The Potter's Loft",54793370,Tim,Albert,Harvey,45.69089,-64.70947,Entire home/apt,125,2,49,2022-06-22,0.68,1,75,11,
2664825,Victorian Apartment Close to Uptown,6772314,Dwight & Cheryl,Saint John,City of Saint John,45.27354,-66.05299,Private room,160,1,50,2020-01-26,0.57,10,174,0,
13748115,"Séjourner au bord de la mer, en Acadie",80523518,Famille,Gloucester,Caraquet,47.77041,-65.03085,Private room,117,1,14,2022-04-17,0.20,8,121,3,
2745462,Oceanfront Cottage - Paradise Point,14045406,Shannon,Charlotte,Saint George,45.0635,-66.82176,Entire home/apt,160,2,193,2022-05-24,1.97,1,286,11,
13764356,Saint John-river cottage  Windwood Point - Welcome,80722780,Matthew,Saint John,City of Saint John,45.28025,-66.15243,Entire home/apt,133,3,68,2022-06-08,0.96,1,281,23,
3112270,Bay of Fundy Oceanfront Retreat,2714886,Karen,Saint John,Musquash,45.11858,-66.37346,Entire home/apt,388,3,0,,,4,2,0,
13768663,The Cottage - Where Sunsets are the Main Event!,11667115,Candace,Northumberland,Hardwicke,47.05796,-65.13031,Entire home/apt,400,2,2,2021-08-02,0.18,1,59,2,
3164623,"Studio#2 Downtown,  Superhost",13302046,Victoria,York,Fredericton,45.95817,-66.63426,Entire home/apt,121,1,315,2022-06-19,3.24,5,266,16,
13854534,Cozy cabin with waterfalls,81836385,Laurel,Charlotte,Saint Croix,45.229,-67.13664,Entire home/apt,150,2,93,2022-06-13,1.29,2,73,12,
3217193,Harris Hatch - Starfish Suite,16292752,Karen,Charlotte,Saint Andrews,45.0754,-67.05535,Entire home/apt,148,2,65,2022-06-18,0.67,2,179,24,
13864192,Modern Upscale 1 Bedroom in Uptown Saint John,50511831,Historica,Saint John,City of Saint John,45.27246,-66.06069,Entire home/apt,133,7,21,2022-02-18,0.29,11,0,4,
13909460,Harbour View Cottage,52510687,Lynn,Queens,Canning,45.91503,-66.09958,Entire home/apt,175,2,218,2022-06-22,3.63,1,211,49,
3260745,"Skyline Resort with Pool, Hot Tub & Tiki Hut! Dbed",16489649,Francis,York,Fredericton,45.93823,-66.64044,Private room,100,1,83,2022-06-23,0.86,2,326,9,
14089457,Camping at Brigadoon Fiber Farm Alpacas,69957467,Rachel,Sunbury,Blissville,45.57842,-66.54766,Entire home/apt,40,1,47,2022-06-06,0.66,1,174,1,
3310272,Pointe-du-Chêne: Parlee Beach Cottage,14467849,B,Westmorland,Shediac,46.23471,-64.51617,Entire home/apt,264,7,38,2021-09-12,0.39,1,303,4,
14146679,Resort retreat!,85441168,Dawn,Kings,Rothesay,45.38929,-65.95074,Private room,66,1,47,2021-11-28,0.65,3,174,1,
3324500,Suites @ 157  Sea view,16784473,Ann,Kent,Wellington,46.47954,-64.69794,Private room,160,5,0,,,2,357,0,
14146761,King size comfort!,85441168,Dawn,Kings,Rothesay,45.38807,-65.95282,Private room,95,3,117,2022-06-12,1.64,3,193,17,
3370306,Red Herring Cottage,17003698,Deborah,Charlotte,Grand Manan,44.76104,-66.74383,Entire home/apt,160,5,17,2021-09-03,0.18,1,231,5,
14215464,Peaceful Log Home on the Miramichi River,86330446,Paul,Northumberland,Nelson,46.83042,-65.77608,Entire home/apt,241,3,14,2020-08-11,0.20,1,237,0,
3448040,Cottage for rent NEAR Parlee Beach,17377352,Monique,Westmorland,Shediac,46.23732,-64.5119,Entire home/apt,200,7,4,2019-08-17,0.05,1,0,0,
14219838,Calm by the seaside,78811308,Ginette,Westmorland,Shediac,46.22161,-64.37889,Entire home/apt,220,7,15,2021-10-02,0.21,1,0,1,
14327395,"Beautiful OCEANFRONT BEACH Cottage - NB, Canada",87675663,Krista,Westmorland,Botsford,46.05436,-64.02227,Entire home/apt,210,7,4,2021-10-03,0.11,1,293,2,
3543178,The NODD-INN - 3/1 Apartment,17836479,Lorrie,Charlotte,Saint Andrews,45.0969,-67.07441,Entire home/apt,190,2,46,2021-08-30,0.48,1,205,9,
